case,forecast_method,information_available_through_delivery_timestamp,commitment_protocol,delivery_timestamp,lead_hour,forecast_price,realized_price,error
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 18:00:00+00:00,19,46.27802501461575,46.03,0.24802501461574877
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 19:00:00+00:00,20,45.566291486309204,40.01,5.556291486309206
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 20:00:00+00:00,21,44.905236006668524,40.22,4.685236006668525
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 21:00:00+00:00,22,44.33962602346257,3.04,41.29962602346257
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 22:00:00+00:00,23,43.880610355843544,-7.28,51.160610355843545
DK1 day-ahead block,sarx,2019-01-12 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-13 23:00:00+00:00,24,43.41290583809187,-3.14,46.552905838091874
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 00:00:00+00:00,1,3.7218295776008823,-12.0,15.721829577600882
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 01:00:00+00:00,2,10.212771659014589,-15.03,25.242771659014586
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 02:00:00+00:00,3,15.32270065136939,-11.09,26.41270065136939
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 03:00:00+00:00,4,19.41988981813831,-4.94,24.35988981813831
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 04:00:00+00:00,5,22.770358136537972,1.59,21.180358136537972
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 05:00:00+00:00,6,27.046881489510426,35.9,-8.853118510489573
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 06:00:00+00:00,7,31.598484978311284,51.22,-19.621515021688715
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 07:00:00+00:00,8,34.567420846828455,51.66,-17.092579153171542
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 08:00:00+00:00,9,37.341398247921376,46.09,-8.748601752078628
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 09:00:00+00:00,10,39.029787739408725,50.26,-11.230212260591273
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 10:00:00+00:00,11,40.33595950717478,44.49,-4.154040492825224
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 11:00:00+00:00,12,41.007089707313796,41.24,-0.23291029268620633
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 12:00:00+00:00,13,40.187880066717895,38.91,1.2778800667178984
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 13:00:00+00:00,14,40.326851051769154,41.79,-1.4631489482308453
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 14:00:00+00:00,15,41.18581335566485,49.63,-8.444186644335154
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 15:00:00+00:00,16,42.00512755819878,50.93,-8.92487244180122
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 16:00:00+00:00,17,42.77654971368412,51.25,-8.473450286315881
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 17:00:00+00:00,18,43.15070976587734,50.93,-7.779290234122662
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 18:00:00+00:00,19,42.9595093291263,50.52,-7.560490670873705
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 19:00:00+00:00,20,42.145212636821995,49.61,-7.464787363178004
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 20:00:00+00:00,21,41.193800714454824,44.3,-3.1061992855451734
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 21:00:00+00:00,22,37.81148860280173,41.29,-3.478511397198268
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 22:00:00+00:00,23,33.545007594385105,37.26,-3.7149924056148933
DK1 day-ahead block,sarx,2019-01-13 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-14 23:00:00+00:00,24,30.02886206818098,37.67,-7.641137931819021
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 00:00:00+00:00,1,34.638751115077724,36.7,-2.0612488849222785
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 01:00:00+00:00,2,30.557341632032514,37.06,-6.502658367967488
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 02:00:00+00:00,3,27.12153412861629,40.64,-13.518465871383711
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 03:00:00+00:00,4,24.872362020111815,44.31,-19.437637979888187
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 04:00:00+00:00,5,23.65794742641386,48.46,-24.802052573586142
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 05:00:00+00:00,6,25.86064099225479,50.91,-25.049359007745206
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 06:00:00+00:00,7,29.969985522761704,53.73,-23.760014477238293
DK1 day-ahead block,sarx,2019-01-14 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-15 07:00:00+00:00,8,33.78060063989035,57.02,-23.23939936010965
